pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
423864626,Problems/AGT/AGT001+1.p,7403067,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,12.1547,4.6816,7805216.0,Theorem,Theorem,THM-CRf,CRf,THM
423864627,Problems/AGT/AGT001+2.p,7403068,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,13.664,5.20145,7608604.0,Theorem,Theorem,THM-CRf,CRf,THM
423864628,Problems/AGT/AGT002+1.p,7403069,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,12.3981,4.69868,7982292.0,Theorem,Theorem,THM-CRf,CRf,THM
423864629,Problems/AGT/AGT002+2.p,7403070,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,13.4722,5.15142,7742504.0,Theorem,Theorem,THM-CRf,CRf,THM
423864630,Problems/AGT/AGT003+1.p,7403071,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,14.2104,5.17707,7929624.0,Theorem,Theorem,THM-CRf,CRf,THM
423864631,Problems/AGT/AGT003+2.p,7403072,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,14.3879,5.49504,8299076.0,Theorem,Theorem,THM-CRf,CRf,THM
423864632,Problems/AGT/AGT004+1.p,7403073,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,12.5391,4.83523,8052620.0,Theorem,Theorem,THM-CRf,CRf,THM
423864633,Problems/AGT/AGT004+2.p,7403074,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,13.916,5.26463,7675440.0,Theorem,Theorem,THM-CRf,CRf,THM
423864634,Problems/AGT/AGT005+1.p,7403075,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,23.3707,7.58976,8360360.0,Theorem,Theorem,THM-CRf,CRf,THM
423864635,Problems/AGT/AGT005+2.p,7403076,Leo-III---1.3,20437,Leo-III---1.3,303325,complete,15.5357,5.89238,7935868.0,Theorem,Theorem,THM-CRf,CRf,THM
423864636,Problems/AGT/AGT006+1.p,7403077,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1805.97,520.11,8693292.0,--,Theorem,UNK-Non,Non,UNK
423864637,Problems/AGT/AGT006+2.p,7403078,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1032.55,520.112,8597996.0,--,Theorem,UNK-Non,Non,UNK
423864638,Problems/AGT/AGT007+1.p,7403079,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1754.85,520.112,8680012.0,--,Theorem,UNK-Non,Non,UNK
423864639,Problems/AGT/AGT007+2.p,7403080,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1822.11,520.131,8644624.0,--,Theorem,UNK-Non,Non,UNK
423864640,Problems/AGT/AGT008+1.p,7403081,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1904.43,520.18,8684016.0,--,Theorem,UNK-Non,Non,UNK
423864641,Problems/AGT/AGT008+2.p,7403082,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1808.58,520.073,8657804.0,--,Theorem,UNK-Non,Non,UNK
423864642,Problems/AGT/AGT009+1.p,7403083,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1887.0,520.2,8684016.0,--,Theorem,UNK-Non,Non,UNK
423864643,Problems/AGT/AGT009+2.p,7403084,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1799.53,520.184,8649124.0,--,Theorem,UNK-Non,Non,UNK
423864644,Problems/AGT/AGT010+1.p,7403085,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1748.15,520.22,8677216.0,--,Theorem,UNK-Non,Non,UNK
423864645,Problems/AGT/AGT010+2.p,7403086,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1680.02,520.12,8721152.0,--,Theorem,UNK-Non,Non,UNK
423864646,Problems/AGT/AGT011+1.p,7403087,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1782.18,520.18,8655384.0,--,Theorem,UNK-Non,Non,UNK
423864647,Problems/AGT/AGT011+2.p,7403088,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1718.21,520.189,8658036.0,--,Theorem,UNK-Non,Non,UNK
423864648,Problems/AGT/AGT012+1.p,7403089,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1753.84,520.1,8660180.0,--,Theorem,UNK-Non,Non,UNK
423864649,Problems/AGT/AGT012+2.p,7403090,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1649.49,520.084,8801032.0,--,Theorem,UNK-Non,Non,UNK
423864650,Problems/AGT/AGT013+1.p,7403091,Leo-III---1.3,20437,Leo-III---1.3,303325,timeout (wallclock),1751.25,520.08,8697228.0,--,Theorem,UNK-Non,Non,UNK
