pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus
423831323,Problems/AGT/AGT001+1.p,7403067,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054711,0.105443,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831324,Problems/AGT/AGT001+2.p,7403068,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054492,0.0587999,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831325,Problems/AGT/AGT002+1.p,7403069,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05502,0.192245,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831326,Problems/AGT/AGT002+2.p,7403070,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054301,0.0573859,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831327,Problems/AGT/AGT003+1.p,7403071,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05455,0.0649779,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831328,Problems/AGT/AGT003+2.p,7403072,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054371,0.115728,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831329,Problems/AGT/AGT004+1.p,7403073,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054007,0.115071,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831330,Problems/AGT/AGT004+2.p,7403074,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054939,0.140511,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831331,Problems/AGT/AGT005+1.p,7403075,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.05454,0.135076,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
423831332,Problems/AGT/AGT005+2.p,7403076,Satallax---3.3,20261,Satallax---3.3,302728,complete,0.054985,0.104386,119280.0,Inappropriate,Theorem,IAP-Non,Non,IAP
