pair id	benchmark	benchmark id	solver	solver id	configuration	configuration id	status	cpu time	wallclock time	memory usage	result	expected	SZSResult	SZSOutput	SZSStatus
439862895	Problems_HOL_only/PHI/PHI002^1.p	7414462	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	2.01296	2.00326	328672	Theorem	Theorem	THM-Ass	Ass	THM
439862896	Problems_HOL_only/PHI/PHI002^2.p	7414463	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.105395	0.104985	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862898	Problems_HOL_only/PHI/PHI003^2.p	7414465	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	54.555	54.2499	1084932	Theorem	Theorem	THM-Ass	Ass	THM
439862900	Problems_HOL_only/PHI/PHI004^2.p	7414467	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	94.529	94.0046	1130600	Theorem	Theorem	THM-Ass	Ass	THM
439862901	Problems_HOL_only/PHI/PHI004^4.p	7414468	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	3.09007	3.07388	332764	Theorem	Theorem	THM-Ass	Ass	THM
439862903	Problems_HOL_only/PHI/PHI005^2.p	7414470	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	57.4928	57.1813	991024	Theorem	Theorem	THM-Ass	Ass	THM
439862914	Problems_HOL_only/NUN/NUN023^2.p	7414423	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.070561	0.070204	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862916	Problems_HOL_only/NUN/NUN024^2.p	7414425	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.070408	0.0700129	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862918	Problems_HOL_only/NUN/NUN025^2.p	7414427	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.0693	0.0691781	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862919	Problems_HOL_only/NUN/NUN025^3.p	7414428	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.071735	0.0716869	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862948	Problems_HOL_only/PLA/PLA032^7.p	7414536	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	4.47391	4.45092	328928	Theorem	Theorem	THM-Ass	Ass	THM
439862949	Problems_HOL_only/PLA/PLA033^7.p	7414537	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	88.316	87.8377	788364	Theorem	Theorem	THM-Ass	Ass	THM
439862954	Problems_HOL_only/MSC/MSC025^2.p	7412417	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	4.16602	4.14432	340060	Theorem	Theorem	THM-Ass	Ass	THM
439862960	Problems_HOL_only/NUM/NUM016^5.p	7412974	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.07193	0.0715951	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862961	Problems_HOL_only/NUM/NUM020^1.p	7412979	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	81.5998	81.1601	489880	Theorem	Theorem	THM-Ass	Ass	THM
439862962	Problems_HOL_only/NUM/NUM021^1.p	7412981	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	81.4047	80.9456	488092	Theorem	Theorem	THM-Ass	Ass	THM
439862963	Problems_HOL_only/NUM/NUM415^1.p	7413411	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.097961	0.0977809	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862964	Problems_HOL_only/NUM/NUM416^1.p	7413412	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	216.228	215.076	436656	Theorem	Theorem	THM-Ass	Ass	THM
439862965	Problems_HOL_only/NUM/NUM417^1.p	7413413	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	18.435	18.3879	308200	Theorem	Theorem	THM-Ass	Ass	THM
439862966	Problems_HOL_only/NUM/NUM418^1.p	7413414	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	82.8389	82.0407	481692	Theorem	Theorem	THM-Ass	Ass	THM
439862967	Problems_HOL_only/NUM/NUM419^1.p	7413415	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.169984	0.168675	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862968	Problems_HOL_only/NUM/NUM635^1.p	7413844	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.069677	0.0693231	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862969	Problems_HOL_only/NUM/NUM635^2.p	7413845	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067796	0.0674909	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862973	Problems_HOL_only/NUM/NUM636^3.p	7413849	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.0733	0.073249	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862978	Problems_HOL_only/NUM/NUM638^1.p	7413854	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.066063	0.065663	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862980	Problems_HOL_only/NUM/NUM639^1.p	7413856	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067526	0.067483	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862982	Problems_HOL_only/NUM/NUM640^1.p	7413858	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067977	0.067637	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862984	Problems_HOL_only/NUM/NUM641^1.p	7413860	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.070894	0.070585	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862986	Problems_HOL_only/NUM/NUM642^1.p	7413862	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067232	0.067181	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862996	Problems_HOL_only/NUM/NUM647^1.p	7413872	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.075801	0.075645	113176	Theorem	Theorem	THM-Ass	Ass	THM
439862998	Problems_HOL_only/NUM/NUM648^1.p	7413874	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067481	0.0674071	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863004	Problems_HOL_only/NUM/NUM651^1.p	7413880	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.069241	0.0709279	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863006	Problems_HOL_only/NUM/NUM652^1.p	7413882	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.070836	0.070506	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863008	Problems_HOL_only/NUM/NUM653^1.p	7413884	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.068013	0.06799	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863010	Problems_HOL_only/NUM/NUM654^1.p	7413886	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.06793	0.0680269	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863012	Problems_HOL_only/NUM/NUM655^1.p	7413888	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067446	0.0673349	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863014	Problems_HOL_only/NUM/NUM656^1.p	7413890	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067737	0.0677201	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863016	Problems_HOL_only/NUM/NUM657^1.p	7413892	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.071175	0.0710219	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863018	Problems_HOL_only/NUM/NUM658^1.p	7413894	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.066064	0.0657349	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863020	Problems_HOL_only/NUM/NUM659^1.p	7413896	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067055	0.066692	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863022	Problems_HOL_only/NUM/NUM660^1.p	7413898	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067889	0.109746	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863024	Problems_HOL_only/NUM/NUM662^1.p	7413900	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.066892	0.0665631	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863026	Problems_HOL_only/NUM/NUM663^1.p	7413902	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067788	0.0678071	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863028	Problems_HOL_only/NUM/NUM664^1.p	7413904	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.068027	0.0680089	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863030	Problems_HOL_only/NUM/NUM665^1.p	7413906	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.083011	0.0827471	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863032	Problems_HOL_only/NUM/NUM666^1.p	7413908	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.083237	0.0830629	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863034	Problems_HOL_only/NUM/NUM667^1.p	7413910	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.074209	0.074082	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863036	Problems_HOL_only/NUM/NUM668^1.p	7413912	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067249	0.0671819	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863038	Problems_HOL_only/NUM/NUM669^1.p	7413914	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.078331	0.0781289	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863040	Problems_HOL_only/NUM/NUM670^1.p	7413916	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.07671	0.076846	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863042	Problems_HOL_only/NUM/NUM671^1.p	7413918	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.068946	0.0688881	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863044	Problems_HOL_only/NUM/NUM672^1.p	7413920	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	1.38795	1.37856	364372	Theorem	Theorem	THM-Ass	Ass	THM
439863046	Problems_HOL_only/NUM/NUM673^1.p	7413922	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067541	0.0675109	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863048	Problems_HOL_only/NUM/NUM674^1.p	7413924	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.068459	0.06847	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863050	Problems_HOL_only/NUM/NUM676^1.p	7413926	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.06982	0.069702	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863052	Problems_HOL_only/NUM/NUM677^1.p	7413928	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.070079	0.0700949	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863054	Problems_HOL_only/NUM/NUM680^1.p	7413930	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.079643	0.079536	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863056	Problems_HOL_only/NUM/NUM681^1.p	7413932	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.080429	0.0801839	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863058	Problems_HOL_only/NUM/NUM682^1.p	7413934	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.08173	0.081544	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863060	Problems_HOL_only/NUM/NUM683^1.p	7413936	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.080763	0.080717	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863062	Problems_HOL_only/NUM/NUM684^1.p	7413938	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.077586	0.0774629	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863064	Problems_HOL_only/NUM/NUM686^1.p	7413940	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.068496	0.0681891	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863066	Problems_HOL_only/NUM/NUM687^1.p	7413942	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067745	0.067428	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863068	Problems_HOL_only/NUM/NUM688^1.p	7413944	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.068736	0.068814	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863070	Problems_HOL_only/NUM/NUM689^1.p	7413946	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	1.38827	1.37635	332772	Theorem	Theorem	THM-Ass	Ass	THM
439863072	Problems_HOL_only/NUM/NUM690^1.p	7413948	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	1.38585	1.37731	345820	Theorem	Theorem	THM-Ass	Ass	THM
439863074	Problems_HOL_only/NUM/NUM691^1.p	7413950	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.069814	0.069742	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863076	Problems_HOL_only/NUM/NUM692^1.p	7413952	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	1.38354	1.37627	326372	Theorem	Theorem	THM-Ass	Ass	THM
439863078	Problems_HOL_only/NUM/NUM693^1.p	7413954	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.078009	0.07796	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863080	Problems_HOL_only/NUM/NUM694^1.p	7413956	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.066704	0.066455	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863082	Problems_HOL_only/NUM/NUM695^1.p	7413958	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.075824	0.0756671	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863084	Problems_HOL_only/NUM/NUM696^1.p	7413960	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.165831	0.165141	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863086	Problems_HOL_only/NUM/NUM697^1.p	7413962	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.066294	0.066315	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863088	Problems_HOL_only/NUM/NUM698^1.p	7413964	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.067488	0.0671301	113176	Theorem	Theorem	THM-Ass	Ass	THM
439863090	Problems_HOL_only/NUM/NUM699^1.p	7413966	Vampire_ho_schedule_occurs_fixed	23139	ho_sched+cunif_off	328086	complete	0.066427	0.0662851	113176	Theorem	Theorem	THM-Ass	Ass	THM
