pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus,,2368
469013495,Problems_HOL_bool_free_only/ANA/ANA125^1.p,9384319,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.328471,0.486792,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013489,Problems_HOL_bool_free_only/ANA/ANA126^1.p,9384165,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,23.6025,6.57045,34943124,Theorem,Theorem,THM-CRf,CRf,THM,,
469013492,Problems_HOL_bool_free_only/ANA/ANA127^1.p,9384191,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,10.45,3.12618,35051968,Theorem,Theorem,THM-CRf,CRf,THM,,
469013528,Problems_HOL_bool_free_only/ALG/ALG001^5.p,9395961,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.305313,0.537909,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013504,Problems_HOL_bool_free_only/ALG/ALG270^5.p,9395600,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.202517,0.376219,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013522,Problems_HOL_bool_free_only/ALG/ALG280^5.p,9395933,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.348495,0.525194,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013513,Problems_HOL_bool_free_only/ALG/ALG281^5.p,9395744,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.350705,0.4971,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013510,Problems_HOL_bool_free_only/ALG/ALG282^5.p,9395688,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.353812,0.486712,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013498,Problems_HOL_bool_free_only/ALG/ALG283^5.p,9395588,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.362829,0.549033,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013501,Problems_HOL_bool_free_only/ALG/ALG284^5.p,9395593,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.3481,0.49669,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013507,Problems_HOL_bool_free_only/ALG/ALG285^5.p,9395675,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.384974,0.528413,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013516,Problems_HOL_bool_free_only/ALG/ALG286^5.p,9395746,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.278913,0.451735,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013519,Problems_HOL_bool_free_only/ALG/ALG287^5.p,9395919,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.297317,0.480396,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013525,Problems_HOL_bool_free_only/ALG/ALG298^5.p,9395947,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.414365,0.479084,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013531,Problems_HOL_bool_free_only/DAT/DAT056^1.p,9379932,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.456505,0.549263,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013534,Problems_HOL_bool_free_only/COM/COM024^5.p,9376115,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.331643,0.504091,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013537,Problems_HOL_bool_free_only/CSR/CSR142^3.p,9370463,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.152795,0.392556,119288,GaveUp,CounterSatisfiable,GUP-Non,Non,GUP,,
469013540,Problems_HOL_bool_free_only/CAT/CAT038^1.p,9369515,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.58023,0.585345,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
469013543,Problems_HOL_bool_free_only/CAT/CAT038^2.p,9369558,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,0.600412,0.610026,119288,Theorem,Theorem,THM-CRf,CRf,THM,,
