pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus,,5005
469015268,Sledgehammer_lambdas/sn/sn0040.pfho.p,8266105,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.88001,6.49814,33903816,Theorem,THM-CRf,CRf,THM,,
469015271,Sledgehammer_lambdas/sn/sn0080.pfho.p,8266106,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.04479,6.5889,33884160,Theorem,THM-CRf,CRf,THM,,
469015274,Sledgehammer_lambdas/sn/sn0096.pfho.p,8266107,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,5.36477,5.13983,34347724,Theorem,THM-CRf,CRf,THM,,
469015277,Sledgehammer_lambdas/sn/sn0016.pfho.p,8266108,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.58559,7.35313,34166796,Theorem,THM-CRf,CRf,THM,,
469015280,Sledgehammer_lambdas/sn/sn0056.pfho.p,8266109,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.03,191.38,35125956,--,UNK-Non,Non,UNK,,
469015283,Sledgehammer_lambdas/sn/sn0061.pfho.p,8266110,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.17,85.3462,37096216,--,UNK-Non,Non,UNK,,
469015286,Sledgehammer_lambdas/sn/sn0112.pfho.p,8266111,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,5.22894,5.28632,33773168,Theorem,THM-CRf,CRf,THM,,
469015289,Sledgehammer_lambdas/sn/sn0021.pfho.p,8266112,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.27,116.093,42518952,--,UNK-Non,Non,UNK,,
469015292,Sledgehammer_lambdas/sn/sn0109.pfho.p,8266113,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,5.43047,5.53651,33773356,Theorem,THM-CRf,CRf,THM,,
469015295,Sledgehammer_lambdas/sn/sn0077.pfho.p,8266114,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,5.57181,5.62646,33773000,Theorem,THM-CRf,CRf,THM,,
469015298,Sledgehammer_lambdas/sn/sn0104.pfho.p,8266115,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,5.79425,5.81001,33813392,Theorem,THM-CRf,CRf,THM,,
469015301,Sledgehammer_lambdas/sn/sn0037.pfho.p,8266116,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,11.6754,8.72987,34280848,Theorem,THM-CRf,CRf,THM,,
469015304,Sledgehammer_lambdas/sn/sn0082.pfho.p,8266117,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,4.66172,4.68906,33808836,Theorem,THM-CRf,CRf,THM,,
469015307,Sledgehammer_lambdas/sn/sn0019.pfho.p,8266118,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,8.12985,7.20695,33903848,Theorem,THM-CRf,CRf,THM,,
469015310,Sledgehammer_lambdas/sn/sn0059.pfho.p,8266119,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.15,90.3961,35928168,--,UNK-Non,Non,UNK,,
469015313,Sledgehammer_lambdas/sn/sn0042.pfho.p,8266120,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.55792,7.46785,33776092,Theorem,THM-CRf,CRf,THM,,
469015316,Sledgehammer_lambdas/sn/sn0002.pfho.p,8266121,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.08,114.909,35323000,--,UNK-Non,Non,UNK,,
469015319,Sledgehammer_lambdas/sn/sn0099.pfho.p,8266122,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,4.56513,4.7173,33772188,Theorem,THM-CRf,CRf,THM,,
469015322,Sledgehammer_lambdas/sn/sn0054.pfho.p,8266123,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.33,83.7817,37059076,--,UNK-Non,Non,UNK,,
469015325,Sledgehammer_lambdas/sn/sn0014.pfho.p,8266124,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,86.4776,27.8559,35066108,Theorem,THM-CRf,CRf,THM,,
469015328,Sledgehammer_lambdas/sn/sn0094.pfho.p,8266125,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.27001,5.76862,34282364,Theorem,THM-CRf,CRf,THM,,
469015331,Sledgehammer_lambdas/sn/sn0078.pfho.p,8266126,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,5.86514,5.8982,33774304,Theorem,THM-CRf,CRf,THM,,
469015334,Sledgehammer_lambdas/sn/sn0038.pfho.p,8266127,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,12.0601,9.08127,34012352,Theorem,THM-CRf,CRf,THM,,
469015337,Sledgehammer_lambdas/sn/sn0023.pfho.p,8266128,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,9.2832,9.04402,33831096,Theorem,THM-CRf,CRf,THM,,
469015340,Sledgehammer_lambdas/sn/sn0110.pfho.p,8266129,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,7.08893,6.06643,33954328,Theorem,THM-CRf,CRf,THM,,
469015343,Sledgehammer_lambdas/sn/sn0063.pfho.p,8266130,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,4.43002,4.32279,33838140,Theorem,THM-CRf,CRf,THM,,
