pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,SZSResult,SZSOutput,SZSStatus,,1614
469915076,Problems_TF1_only/COM/COM025_5.p,9376065,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.03,182.714,34258104,--,Unknown,UNK-Non,Non,UNK,,
469915078,Problems_TF1_only/COM/COM025_5.p,9376065,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.02,300.332,1563900,--,Unknown,UNK-Non,Non,UNK,,
469914959,Problems_TF1_only/COM/COM026_5.p,9375969,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.25,113.89,35008900,--,Unknown,UNK-Non,Non,UNK,,
469914961,Problems_TF1_only/COM/COM026_5.p,9375969,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.026,300.279,2858108,--,Unknown,UNK-Non,Non,UNK,,
469914884,Problems_TF1_only/COM/COM027_5.p,9375909,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.23,111.539,48221324,--,Unknown,UNK-Non,Non,UNK,,
469914886,Problems_TF1_only/COM/COM027_5.p,9375909,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.264,1853168,--,Unknown,UNK-Non,Non,UNK,,
469914950,Problems_TF1_only/COM/COM028_5.p,9375963,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.13,88.369,37801488,--,Unknown,UNK-Non,Non,UNK,,
469914952,Problems_TF1_only/COM/COM028_5.p,9375963,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.08,300.321,4654524,--,Unknown,UNK-Non,Non,UNK,,
469914890,Problems_TF1_only/COM/COM029_5.p,9375914,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.26,83.8888,36087264,--,Unknown,UNK-Non,Non,UNK,,
469914892,Problems_TF1_only/COM/COM029_5.p,9375914,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.09,300.383,2495576,--,Unknown,UNK-Non,Non,UNK,,
469914992,Problems_TF1_only/COM/COM030_5.p,9376004,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.07,170.831,34272920,--,Unknown,UNK-Non,Non,UNK,,
469914994,Problems_TF1_only/COM/COM030_5.p,9376004,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.02,300.342,1092732,--,Unknown,UNK-Non,Non,UNK,,
469914929,Problems_TF1_only/COM/COM031_5.p,9375944,Leo-III---1.4,25865,Leo-III---1.4,343517,timeout (cpu),300.2,81.231,38563248,--,Unknown,UNK-Non,Non,UNK,,
469914931,Problems_TF1_only/COM/COM031_5.p,9375944,ZenonModulo---0.4.2,22312,ZenonModulo---0.4.2,325868,timeout (cpu),300.03,300.271,4917472,--,Unknown,UNK-Non,Non,UNK,,
469915112,Problems_TF1_only/COM/COM032_5.p,9376093,Leo-III---1.4,25865,Leo-III---1.4,343517,complete,46.5612,22.0894,34995428,Theorem,Theorem,THM-CRf,CRf,THM,,
